,npe,cos,angle,angle_po,trigger,energy
0,25590,-0.5951129446047131,776.8435537455723,427.5065428025952,True,95284.34851373408
1,4571,-0.7780193237204897,5043.265264621396,4427.928713242576,True,17121.08398026502
2,370,-0.21799467986244356,3772.2579325147076,2809.9501770221327,True,52380.71764248011
3,152,-0.21084509515391964,2376.28863568196,3115.790479623374,True,15959.680073256468
4,125,-0.8080529064580672,1453.745132428444,987.358274924116,True,11111.520319156773
5,713,-0.885206340179732,2284.296862548916,2413.5595118961546,True,25039.083943834696
6,613,-0.06265252054016163,171.87590610795502,1534.2841475980067,True,34871.20358434168
7,1210,-0.12063212679437299,874.0338943461192,873.6160204329697,True,16889.83962674912
8,1209,-0.6669027875874927,2353.7244997905455,2369.2444209663217,True,52522.36044845544
9,402,0.363127891272756,3719.094071736644,215.91974164408725,True,10658.0954038513
10,851,-0.6400092000281897,1725.5764550790182,55.73985655877098,True,29197.294521003663
11,72,0.1455729648082008,2460.92197444948,1921.57268666586,True,11005.21075006855
12,529,-0.6895766448030239,2060.180945172457,1525.3025970986964,True,49256.99400093872
13,1077,0.8375204075220078,591.7351907479556,2817.558239883496,True,24929.602423689423
14,5292,0.8234893097263989,3008.4556289689076,2784.1640065271317,True,49424.33809617098
15,347,-0.1973498470134322,767.3143606732006,772.3064479154252,True,23323.947845519273
16,5173,0.7858500453328444,522.9904786100013,648.9263292086519,True,82225.97866636445
17,777,-0.652084763355596,1904.1289208677076,1297.2087845505607,True,38523.25817004451
18,1997,0.40136405704417766,1705.8448331283855,1687.084837039519,True,54474.050173464995
19,1351,0.3009068438321009,1795.8671148239544,1793.6404934561076,True,46655.51858163591
20,461,0.3902887697294731,1081.5052304556132,1081.3848159533745,True,38000.79166213964
21,58781,0.8749816516485063,929.1551443224773,931.0848751859122,True,29982.54613105153
22,1232,0.049010284920608584,2261.5472504661698,904.1768336831796,True,28092.437365040794
23,74,-0.25125446590654793,3097.832640596852,3776.1915853399137,True,12161.775626267547
24,688,0.2351321932714265,1183.0854040406407,1742.0706431584608,True,38727.89878133881
25,952,0.5860399682846733,1220.0253962608897,1219.8612575940015,True,81067.29634892804
26,550,-0.8418733140494636,3021.5514567839327,2254.960905452633,True,12631.500333137059
27,58,-0.7202478554772757,834.9711492323735,835.4700003142727,True,10910.072807869226
28,115,-0.737139048850038,3029.596378741995,2140.8502406205066,True,21076.463394422844
29,178,-0.14247540678724346,1564.8392392255748,61.21020783367839,True,24915.307726171435
30,16572,-0.7707613377323952,1039.9286047530436,1181.112462079574,True,59741.41766823687
31,499,-0.11489330764060253,1294.9068789608014,1215.3954272788128,True,32344.110396719247
